ID,Name,Nationality,Age,Overall rating,Team & Contract,Height,Weight,foot,Best position,Value,Total attacking,Total skill,Total movement,Total power,Total mentality,Total defending,Body type
1,J. Manzambi,Switzerland,19,77,SC Freiburg,183.0,75.0,Right,CAM,22.5,332,339,392,373,344,199,Normal
2,S. Baidoo,Austria,21,76,RC Lens,190.0,82.0,Right,CB,14.0,220,251,332,288,275,227,Normal
3,A. Al Khaibari,Saudi Arabia,28,70,Al Nassr,175.0,75.0,Right,CDM,1.4,252,282,356,329,291,201,Lean
4,C. Varela,Portugal,16,68,Dinamo Zagreb,169.0,60.0,Right,RM,3.3,290,315,356,271,241,65,Lean
5,J. Bellingham,England,22,89,Real Madrid,186.0,75.0,Right,CAM,150.5,396,411,418,431,416,239,Normal
6,Marcos Leonardo,Brazil,22,78,Al Hilal,175.0,72.0,Right,ST,23.0,359,321,378,383,286,59,Stocky
7,L. Dobbin,England,22,71,Preston North End,175.0,71.0,Right,CAM,4.2,304,322,393,332,274,124,Lean
8,A. Schjelderup,Norway,21,77,SL Benfica,176.0,69.0,Right,CAM,23.5,315,367,398,321,300,127,Lean
9,Rodrigo Mora,Portugal,18,77,FC Porto,168.0,56.0,Right,CAM,24.5,326,366,408,264,288,122,Lean
10,K. Karetsas,Greece,17,74,KRC Genk,171.0,62.0,Left,CAM,9.5,303,381,389,312,242,72,Lean
11,A. Sørloth,Norway,29,83,Atlético Madrid,196.0,90.0,Left,ST,36.5,393,348,347,424,337,83,Normal
12,C. Tzolis,Greece,23,81,Club Brugge KV,179.0,73.0,Right,CAM,40.5,378,381,410,382,324,110,Normal
13,E. Haaland,Norway,24,91,Manchester City,195.0,94.0,Left,ST,172.5,407,367,408,441,391,118,Unique
14,K. Adeyemi,Germany,23,82,Borussia Dortmund,180.0,77.0,Left,ST,43.5,374,364,441,399,316,108,Lean
15,K. Koné,France,24,80,Roma,185.0,80.0,Right,CM,30.0,345,368,382,409,363,225,Normal
16,A. Nusa,Norway,20,78,RB Leipzig,183.0,77.0,Right,CAM,31.0,317,364,427,353,295,138,Lean
17,K. Mbappé,France,26,91,Real Madrid,182.0,81.0,Right,ST,157.0,424,408,459,427,357,92,Unique
18,Y. Diomande,Côte d'Ivoire,18,81,RB Leipzig,181.0,76.0,Right,CAM,54.5,362,365,427,362,295,121,Normal
19,J. Brandt,Germany,29,82,Borussia Dortmund,185.0,83.0,Right,CAM,30.0,374,412,393,384,323,117,Lean
