ID,Name,Nationality,Team & Contract,foot,Best position,Body type,Age,Overall rating,Height,Weight,Value,Total attacking,Total skill,Total movement,Total power,Total mentality,Total defending
1,J. Manzambi,Na_Switzerland,Tc_SC Freiburg,F_Right,Bp_CAM,Bt_Normal,a1,o5,h3,w3,v5,ta5,ts5,tm5,tp5,tme5,td5
2,S. Baidoo,Na_Austria,Tc_RC Lens,F_Right,Bp_CB,Bt_Normal,a2,o5,h5,w5,v5,ta2,ts3,tm3,tp3,tme4,td5
3,A. Al Khaibari,Na_Saudi Arabia,Tc_Al Nassr,F_Right,Bp_CDM,Bt_Lean,a5,o5,h1,w3,v4,ta3,ts4,tm4,tp4,tme4,td5
4,C. Varela,Na_Portugal,Tc_Dinamo Zagreb,F_Right,Bp_RM,Bt_Lean,a1,o4,h1,w1,v5,ta4,ts5,tm4,tp3,tme3,td1
5,J. Bellingham,Na_England,Tc_Real Madrid,F_Right,Bp_CAM,Bt_Normal,a3,o5,h4,w3,v5,ta5,ts5,tm5,tp5,tme5,td5
6,Marcos Leonardo,Na_Brazil,Tc_Al Hilal,F_Right,Bp_ST,Bt_Stocky,a3,o5,h1,w2,v5,ta5,ts5,tm5,tp5,tme4,td1
7,L. Dobbin,Na_England,Tc_Preston North End,F_Right,Bp_CAM,Bt_Lean,a3,o5,h1,w2,v5,ta5,ts5,tm5,tp5,tme4,td3
8,A. Schjelderup,Na_Norway,Tc_SL Benfica,F_Right,Bp_CAM,Bt_Lean,a2,o5,h2,w1,v5,ta5,ts5,tm5,tp4,tme5,td3
9,Rodrigo Mora,Na_Portugal,Tc_FC Porto,F_Right,Bp_CAM,Bt_Lean,a1,o5,h1,w1,v5,ta5,ts5,tm5,tp2,tme4,td3
10,K. Karetsas,Na_Greece,Tc_KRC Genk,F_Left,Bp_CAM,Bt_Lean,a1,o5,h1,w1,v5,ta5,ts5,tm5,tp4,tme3,td2
11,A. Sørloth,Na_Norway,Tc_Atlético Madrid,F_Left,Bp_ST,Bt_Normal,a5,o5,h5,w5,v5,ta5,ts5,tm4,tp5,tme5,td2
12,C. Tzolis,Na_Greece,Tc_Club Brugge KV,F_Right,Bp_CAM,Bt_Normal,a4,o5,h2,w3,v5,ta5,ts5,tm5,tp5,tme5,td2
13,E. Haaland,Na_Norway,Tc_Manchester City,F_Left,Bp_ST,Bt_Unique,a4,o5,h5,w5,v5,ta5,ts5,tm5,tp5,tme5,td2
14,K. Adeyemi,Na_Germany,Tc_Borussia Dortmund,F_Left,Bp_ST,Bt_Lean,a4,o5,h2,w4,v5,ta5,ts5,tm5,tp5,tme5,td2
15,K. Koné,Na_France,Tc_Roma,F_Right,Bp_CM,Bt_Normal,a4,o5,h4,w4,v5,ta5,ts5,tm5,tp5,tme5,td5
16,A. Nusa,Na_Norway,Tc_RB Leipzig,F_Right,Bp_CAM,Bt_Lean,a2,o5,h3,w4,v5,ta5,ts5,tm5,tp5,tme5,td3
